investor_id,age_group,city_tier,risk_appetite,investment_cr,tenure_years,channel,gender
384,26-35,Tier 1,Moderate,0.6949,3.0,Distributor,F
385,26-35,Tier 1,Aggressive,0.1963,0.6,Direct,M
386,55+,Tier 2,Conservative,0.035,1.9,Bank,F
387,55+,Tier 1,Conservative,1.1938,0.7,Distributor,M
388,18-25,Tier 1,Conservative,0.1321,0.6,Direct,M
389,46-55,Tier 1,Conservative,0.4759,3.4,Online,F
390,46-55,Tier 2,Aggressive,0.1341,3.4,Bank,M
391,26-35,Tier 1,Moderate,0.238,0.9,Online,M
392,36-45,Tier 3,Conservative,0.3865,0.1,Direct,F
393,26-35,Tier 1,Conservative,0.1027,13.4,Distributor,M
394,18-25,Tier 3,Moderate,0.1309,5.4,Online,F
395,26-35,Tier 1,Aggressive,0.6039,1.7,Direct,F
396,26-35,Tier 1,Aggressive,0.5263,3.7,Direct,M
397,55+,Tier 2,Aggressive,1.28,2.8,Online,F
398,55+,Tier 2,Aggressive,0.1027,0.7,Direct,M
399,26-35,Tier 2,Moderate,0.698,0.0,Direct,F
400,46-55,Tier 2,Aggressive,0.1124,1.0,Direct,F
401,18-25,Tier 1,Aggressive,0.0004,1.5,Distributor,M
402,18-25,Tier 1,Conservative,0.2708,24.2,Distributor,M
403,18-25,Tier 2,Conservative,0.1404,14.9,Distributor,F
404,46-55,Tier 1,Conservative,0.4437,1.0,Distributor,M
405,46-55,Tier 2,Aggressive,1.0674,0.7,Bank,F
406,26-35,Tier 1,Conservative,0.4108,4.7,Bank,M
407,18-25,Tier 3,Conservative,0.2894,3.4,Distributor,M
408,55+,Tier 1,Conservative,1.8495,0.1,Online,M
409,55+,Tier 3,Aggressive,0.4406,2.3,Distributor,F
410,55+,Tier 1,Moderate,0.0736,2.5,Direct,F
411,36-45,Tier 1,Moderate,0.123,0.4,Direct,F
412,26-35,Tier 3,Aggressive,0.4821,4.7,Online,F
413,18-25,Tier 2,Conservative,1.6675,4.8,Bank,None
414,36-45,Tier 2,Conservative,0.1736,0.5,Distributor,M
415,55+,Tier 3,Aggressive,0.0118,1.2,Online,M
416,46-55,Tier 1,Aggressive,0.0906,0.5,Distributor,M
417,36-45,Tier 3,Aggressive,0.3514,0.2,Online,M
418,46-55,Tier 1,Conservative,2.2418,5.8,Bank,F
419,36-45,Tier 3,Aggressive,0.4414,1.2,Online,M
420,55+,Tier 1,Conservative,1.7656,3.2,Distributor,M
421,46-55,Tier 1,Aggressive,0.7477,0.7,Bank,F
422,46-55,Tier 1,Aggressive,0.099,2.6,Online,F
423,55+,Tier 3,Aggressive,0.0223,0.6,Online,F
424,26-35,Tier 1,Moderate,1.2129,1.1,Online,F
425,26-35,Tier 1,Moderate,0.616,2.4,Distributor,M
426,26-35,Tier 3,Conservative,0.1844,0.2,Online,F
427,55+,Tier 1,Aggressive,0.5673,2.8,Bank,F
428,46-55,Tier 2,Moderate,0.0675,0.3,Direct,F
429,36-45,Tier 1,Moderate,0.4951,1.4,Bank,M
430,46-55,Tier 1,Conservative,0.3084,0.4,Bank,M
431,46-55,Tier 2,Aggressive,0.1923,2.1,Online,M
432,55+,Tier 3,Aggressive,0.1966,1.2,Online,M
433,26-35,Tier 3,Moderate,0.3595,0.5,Direct,F
434,55+,Tier 1,Aggressive,0.1353,6.1,Distributor,F
435,18-25,Tier 2,Aggressive,0.6623,0.2,Direct,F
