nav_date,amfi_code,nav,change_pct,daily_return_pct
2024-03-06,100067,460.143,0.1066,0.4248
2024-03-07,100067,458.4504,0.5837,-0.3678
2024-03-08,100067,468.4752,-0.0715,2.1867
2024-03-11,100067,479.363,-0.2445,2.3241
2024-03-12,100067,471.724,0.6558,-1.5936
2024-03-13,100067,472.0487,0.2166,0.0688
2024-03-14,100067,476.0928,-1.8814,0.8567
2024-03-15,100067,479.7833,1.1058,0.7752
2024-03-18,100067,485.0928,-1.235,1.1066
2024-03-19,100067,488.2273,-0.6551,0.6462
2024-03-20,100067,488.0101,-0.1128,-0.0445
2024-03-21,100067,485.8285,0.5242,-0.447
2024-03-22,100067,487.7337,2.0307,0.3922
2024-03-25,100067,489.3591,-0.1396,0.3333
2024-03-26,100067,490.5803,0.1799,0.2496
2024-03-27,100067,493.3979,-1.1755,0.5743
2024-03-28,100067,497.2835,0.1419,0.7875
2024-03-29,100067,491.9204,1.4795,-1.0785
2024-04-01,100067,505.479,0.1213,2.7563
2024-04-02,100067,504.8323,0.7089,-0.1279
2024-04-03,100067,503.1297,0.0445,-0.3373
2024-04-04,100067,499.5564,-0.3014,-0.7102
2024-04-05,100067,497.3121,1.0153,-0.4493
2024-04-08,100067,500.9837,0.8508,0.7383
2024-04-09,100067,507.5077,0.2359,1.3022
2024-04-10,100067,507.3289,-1.6142,-0.0352
2024-04-11,100067,506.5909,0.0779,-0.1455
2024-04-12,100067,500.3897,1.8217,-1.2241
2024-04-15,100067,503.5715,0.8716,0.6359
2024-04-16,100067,506.1893,-0.4866,0.5198
2024-04-17,100067,503.8382,0.1667,-0.4645
2024-04-18,100067,512.055,-0.669,1.6308
2024-04-19,100067,511.9753,0.2546,-0.0156
2024-04-22,100067,515.783,1.1416,0.7437
2024-04-23,100067,509.3489,0.809,-1.2474
2024-04-24,100067,516.4602,0.511,1.3962
2024-04-25,100067,518.5972,0.565,0.4138
2024-04-26,100067,522.3494,0.4114,0.7235
2024-04-29,100067,512.5646,-0.7688,-1.8732
2024-04-30,100067,504.8963,-1.3506,-1.4961
2024-05-01,100067,509.6759,-1.318,0.9466
2024-05-02,100067,511.764,-0.0144,0.4097
2024-05-03,100067,507.2294,0.5862,-0.8861
2024-05-06,100067,496.7054,0.2484,-2.0748
2024-05-07,100067,498.147,0.661,0.2902
2024-05-08,100067,494.2306,-0.7267,-0.7862
2024-05-09,100067,494.832,1.086,0.1217
2024-05-10,100067,496.463,1.2472,0.3296
2024-05-13,100067,507.1804,1.3704,2.1588
2024-05-14,100067,497.8881,-0.3681,-1.8321
2024-05-15,100067,497.2851,-0.5298,-0.1211
2024-05-16,100067,499.6083,-0.3961,0.4672
2024-05-17,100067,501.4983,0.7132,0.3783
2024-05-20,100067,488.4279,-0.3638,-2.6063
2024-05-21,100067,490.6918,-1.2187,0.4635
2024-05-22,100067,493.312,-0.1828,0.534
2024-05-23,100067,492.5098,0.3817,-0.1626
2024-05-24,100067,492.194,-0.092,-0.0641
2024-05-27,100067,497.6131,-0.6547,1.101
2024-05-28,100067,496.6255,1.0366,-0.1985
2024-05-29,100067,490.7958,0.5718,-1.1739
2024-05-30,100067,491.1598,-0.8175,0.0742
2024-05-31,100067,486.0472,-0.0311,-1.0409
2024-06-03,100067,495.5615,0.4017,1.9575
2024-06-04,100067,492.21,0.6882,-0.6763
2024-06-05,100067,499.0146,0.1311,1.3825
2024-06-06,100067,504.1465,0.1436,1.0284
2024-06-07,100067,510.3485,0.9248,1.2302
2024-06-10,100067,514.6191,0.8341,0.8368
2024-06-11,100067,518.2337,-1.1762,0.7024
2024-06-12,100067,523.6844,-0.4878,1.0518
2024-06-13,100067,530.7751,-0.2103,1.354
2024-06-14,100067,533.0731,0.0744,0.433
2024-06-17,100067,551.701,-0.7852,3.4944
2024-06-18,100067,556.6587,-0.2762,0.8986
2024-06-19,100067,562.3967,1.0398,1.0308
2024-06-20,100067,561.3671,-1.1556,-0.1831
2024-06-21,100067,562.4271,0.0648,0.1888
2024-06-24,100067,560.3816,-0.7149,-0.3637
2024-06-25,100067,557.1836,-0.0193,-0.5707
2024-06-26,100067,549.9645,0.0795,-1.2956
2024-06-27,100067,547.0101,0.8904,-0.5372
2024-06-28,100067,547.5994,-0.3024,0.1077
2024-07-01,100067,552.0446,1.5367,0.8118
2024-07-02,100067,555.0763,0.0854,0.5492
2024-07-03,100067,553.7738,1.6832,-0.2347
2024-07-04,100067,552.1901,-0.1414,-0.286
2024-07-05,100067,547.7263,-0.1149,-0.8084
2024-07-08,100067,561.9346,0.7271,2.5941
2024-07-09,100067,566.9804,-0.3508,0.8979
2024-07-10,100067,573.5914,-0.2075,1.166
2024-07-11,100067,568.6831,0.3578,-0.8557
2024-07-12,100067,568.5478,-0.6273,-0.0238
2024-07-15,100067,571.8639,1.5052,0.5833
2024-07-16,100067,565.9294,-2.4133,-1.0377
2024-07-17,100067,573.3086,-0.0684,1.3039
2024-07-18,100067,577.832,-0.1407,0.789
2024-07-19,100067,579.6063,-0.8036,0.3071
2024-07-22,100067,577.0842,-0.3267,-0.4351
2024-07-23,100067,581.356,0.2514,0.7402
2024-07-24,100067,583.8389,0.2592,0.4271
2024-07-25,100067,576.3819,-0.482,-1.2772
2024-07-26,100067,574.7364,0.3281,-0.2855
2024-07-29,100067,577.7363,-1.5047,0.522
2024-07-30,100067,581.0199,-0.1986,0.5684
2024-07-31,100067,576.1263,-1.7329,-0.8422
2024-08-01,100067,580.0939,0.0582,0.6887
2024-08-02,100067,569.7238,0.2716,-1.7877
2024-08-05,100067,574.6301,1.7308,0.8612
2024-08-06,100067,567.4278,0.8306,-1.2534
2024-08-07,100067,567.7848,-0.1065,0.0629
2024-08-08,100067,568.9304,-1.7264,0.2018
2024-08-09,100067,568.4289,0.7657,-0.0881
2024-08-12,100067,557.8709,-0.0673,-1.8574
2024-08-13,100067,554.45,-0.9196,-0.6132
2024-08-14,100067,556.5923,-1.012,0.3864
2024-08-15,100067,563.0916,-0.268,1.1677
2024-08-16,100067,566.2642,-0.7764,0.5634
2024-08-19,100067,558.9602,-0.1092,-1.2899
2024-08-20,100067,562.7004,-0.9997,0.6691
2024-08-21,100067,581.0221,-0.4251,3.256
2024-08-22,100067,582.6716,-1.0819,0.2839
2024-08-23,100067,584.6846,0.1006,0.3455
2024-08-26,100067,590.5191,-0.6149,0.9979
2024-08-27,100067,592.1097,-0.0201,0.2694
2024-08-28,100067,595.7718,0.5172,0.6185
2024-08-29,100067,603.7642,1.0629,1.3415
2024-08-30,100067,602.2723,0.0264,-0.2471
2024-09-02,100067,589.1254,1.6019,-2.1829
2024-09-03,100067,583.4485,-0.078,-0.9636
2024-09-04,100067,580.2137,-0.9911,-0.5544
2024-09-05,100067,588.9533,0.1775,1.5063
2024-09-06,100067,583.5793,-0.0518,-0.9125
2024-09-09,100067,579.8969,0.6879,-0.631
2024-09-10,100067,587.3181,0.1163,1.2797
2024-09-11,100067,584.8531,1.7321,-0.4197
2024-09-12,100067,586.3331,0.6522,0.2531
2024-09-13,100067,586.5343,-0.1403,0.0343
2024-09-16,100067,596.6673,1.0764,1.7276
2024-09-17,100067,588.1933,0.5475,-1.4202
2024-09-18,100067,598.4644,0.6414,1.7462
2024-09-19,100067,603.7854,-0.3121,0.8891
2024-09-20,100067,607.3925,-0.6473,0.5974
2024-09-23,100067,616.5368,-0.2387,1.5055
2024-09-24,100067,610.22,-0.5046,-1.0246
2024-09-25,100067,606.3233,0.9878,-0.6386
2024-09-26,100067,611.5091,0.8178,0.8553
2024-09-27,100067,608.013,-0.5561,-0.5717
2024-09-30,100067,603.1738,-0.0273,-0.7959
2024-10-01,100067,605.1879,-0.6151,0.3339
2024-10-02,100067,601.5714,-0.5451,-0.5976
2024-10-03,100067,603.0744,0.4544,0.2498
2024-10-04,100067,593.3737,0.4944,-1.6085
2024-10-07,100067,600.4646,0.4361,1.195
2024-10-08,100067,594.9025,-0.0168,-0.9263
2024-10-09,100067,593.4446,-1.1919,-0.2451
2024-10-10,100067,587.9238,-0.2231,-0.9303
2024-10-11,100067,583.8381,0.5815,-0.6949
2024-10-14,100067,597.557,-1.1494,2.3498
2024-10-15,100067,601.7141,1.2209,0.6957
2024-10-16,100067,593.2465,0.7273,-1.4072
2024-10-17,100067,601.0601,-0.2969,1.3171
2024-10-18,100067,599.0106,-1.0777,-0.341
2024-10-21,100067,594.5433,0.7312,-0.7458
2024-10-22,100067,591.4268,2.9835,-0.5242
2024-10-23,100067,590.0291,-0.3063,-0.2363
2024-10-24,100067,590.3457,-0.6914,0.0537
2024-10-25,100067,586.3962,-1.1428,-0.669
2024-10-28,100067,588.2013,-1.0886,0.3078
2024-10-29,100067,589.0884,-1.1926,0.1508
2024-10-30,100067,585.7855,0.4519,-0.5607
2024-10-31,100067,578.3114,0.2772,-1.2759
2024-11-01,100067,582.7279,0.8815,0.7637
2024-11-04,100067,572.6393,1.1803,-1.7313
2024-11-05,100067,577.0177,0.9043,0.7646
2024-11-06,100067,579.5072,0.6522,0.4314
2024-11-07,100067,589.4863,0.1756,1.722
2024-11-08,100067,586.7052,1.1874,-0.4718
2024-11-11,100067,587.978,1.5331,0.2169
2024-11-12,100067,589.8593,0.2341,0.32
2024-11-13,100067,587.575,-0.2537,-0.3873
2024-11-14,100067,584.0548,-0.8633,-0.5991
2024-11-15,100067,584.8889,0.9524,0.1428
2024-11-18,100067,583.851,-1.3202,-0.1775
2024-11-19,100067,581.588,-1.7236,-0.3876
2024-11-20,100067,588.4035,-0.1528,1.1719
2024-11-21,100067,578.7376,-0.7632,-1.6427
2024-11-22,100067,573.2606,0.6597,-0.9464
2024-11-25,100067,566.7241,0.3138,-1.1402
2024-11-26,100067,574.3736,-0.2009,1.3498
2024-11-27,100067,585.1836,-0.4674,1.8821
2024-11-28,100067,584.4021,-0.9133,-0.1335
2024-11-29,100067,585.7118,0.7544,0.2241
2024-12-02,100067,601.4986,0.0337,2.6953
2024-12-03,100067,602.3956,-0.6037,0.1491
2024-12-04,100067,602.7884,0.665,0.0652
2024-12-05,100067,605.2887,-0.2891,0.4148
2024-12-06,100067,610.1165,-0.8974,0.7976
2024-12-09,100067,620.6429,0.396,1.7253
2024-12-10,100067,619.6101,-0.45,-0.1664
2024-12-11,100067,621.3394,0.2536,0.2791
2024-12-12,100067,612.5874,-0.3168,-1.4086
2024-12-13,100067,612.2642,1.3084,-0.0528
2024-12-16,100067,616.8244,1.0207,0.7448
2024-12-17,100067,612.0447,1.5056,-0.7749
2024-12-18,100067,604.6867,0.063,-1.2022
2024-12-19,100067,612.4892,0.3138,1.2903
2024-12-20,100067,620.8197,0.072,1.3601
2024-12-23,100067,641.121,-0.9466,3.2701
2024-12-24,100067,638.2494,-0.8368,-0.4479
2024-12-25,100067,636.5863,-1.0371,-0.2606
2024-12-26,100067,633.8386,-1.2702,-0.4316
2024-12-27,100067,639.7702,-0.273,0.9358
2024-12-30,100067,634.514,1.2923,-0.8216
2024-01-01,100188,374.5928,-0.9082,
2024-01-02,100188,377.4938,-0.5112,0.7744
2024-01-03,100188,378.9804,-1.6015,0.3938
2024-01-04,100188,383.1127,0.0043,1.0904
2024-01-05,100188,386.3203,0.2109,0.8372
2024-01-08,100188,391.8066,-1.3186,1.4201
2024-01-09,100188,388.1525,0.6929,-0.9326
2024-01-10,100188,388.1709,-0.1659,0.0047
2024-01-11,100188,387.6986,0.4916,-0.1217
2024-01-12,100188,385.7834,0.4993,-0.494
2024-01-15,100188,385.0427,1.0041,-0.192
2024-01-16,100188,381.3947,0.7948,-0.9474
2024-01-17,100188,377.9802,0.6997,-0.8953
2024-01-18,100188,371.6719,-0.9654,-1.6689
2024-01-19,100188,370.1181,-0.1098,-0.4181
2024-01-22,100188,383.7233,1.1259,3.6759
2024-01-23,100188,382.9,-0.1997,-0.2146
2024-01-24,100188,386.7369,0.0763,1.0021
2024-01-25,100188,386.3452,-1.1617,-0.1013
2024-01-26,100188,386.1295,-2.4719,-0.0558
2024-01-29,100188,383.9904,-0.3908,-0.554
2024-01-30,100188,383.0068,1.2524,-0.2562
2024-01-31,100188,379.5438,0.325,-0.9042
2024-02-01,100188,373.2216,0.1208,-1.6657
2024-02-02,100188,374.749,0.8139,0.4092
2024-02-05,100188,374.304,0.0227,-0.1187
2024-02-06,100188,374.959,0.4572,0.175
2024-02-07,100188,376.4517,-0.8564,0.3981
2024-02-08,100188,372.5506,2.2954,-1.0363
2024-02-09,100188,379.1366,-1.2125,1.7678
2024-02-12,100188,385.8713,0.1664,1.7763
2024-02-13,100188,382.8068,-0.1242,-0.7942
2024-02-14,100188,381.2679,0.1609,-0.402
2024-02-15,100188,380.4995,-0.0785,-0.2015
2024-02-16,100188,384.1397,1.1475,0.9567
2024-02-19,100188,376.2439,1.1413,-2.0555
2024-02-20,100188,376.1933,1.3441,-0.0134
2024-02-21,100188,374.7268,0.0634,-0.3898
2024-02-22,100188,370.3282,1.2123,-1.1738
2024-02-23,100188,369.2678,-1.2966,-0.2863
2024-02-26,100188,360.012,0.1412,-2.5065
2024-02-27,100188,361.0894,1.3883,0.2993
2024-02-28,100188,360.2557,0.7667,-0.2309
2024-02-29,100188,361.4122,-0.134,0.321
2024-03-01,100188,354.8015,0.8928,-1.8291
2024-03-04,100188,349.6316,0.2947,-1.4571
2024-03-05,100188,350.1114,0.0665,0.1372
2024-03-06,100188,349.8267,0.9843,-0.0813
2024-03-07,100188,353.0088,0.6933,0.9096
2024-03-08,100188,363.7013,-0.5002,3.029
2024-03-11,100188,360.992,-0.5787,-0.7449
2024-03-12,100188,352.3696,-1.052,-2.3885
2024-03-13,100188,352.7397,0.9488,0.105
2024-03-14,100188,347.938,-0.5112,-1.3613
2024-03-15,100188,347.6408,-0.6157,-0.0854
2024-03-18,100188,350.7448,-0.6127,0.8929
2024-03-19,100188,355.7354,0.0397,1.4229
2024-03-20,100188,360.0192,-0.3551,1.2042
2024-03-21,100188,362.075,-0.5714,0.571
2024-03-22,100188,359.1211,-0.5939,-0.8158
2024-03-25,100188,363.6637,-0.9938,1.2649
2024-03-26,100188,360.2405,1.5702,-0.9413
2024-03-27,100188,362.3583,-1.6533,0.5879
2024-03-28,100188,364.125,0.2536,0.4876
2024-03-29,100188,357.243,-0.2926,-1.89
2024-04-01,100188,363.0599,0.1262,1.6283
2024-04-02,100188,366.582,-0.0916,0.9701
2024-04-03,100188,363.8995,-0.8008,-0.7318
2024-04-04,100188,365.8223,-1.7224,0.5284
2024-04-05,100188,368.2002,-0.9559,0.65
2024-04-08,100188,373.1661,-1.7066,1.3487
2024-04-09,100188,370.6078,0.0842,-0.6856
2024-04-10,100188,368.7678,0.8155,-0.4965
2024-04-11,100188,361.9908,0.3656,-1.8377
2024-04-12,100188,363.5232,0.0842,0.4233
2024-04-15,100188,367.1281,-0.5926,0.9917
2024-04-16,100188,369.6723,-0.2518,0.693
2024-04-17,100188,372.5295,0.7424,0.7729
2024-04-18,100188,367.7699,-0.099,-1.2776
2024-04-19,100188,367.6111,-0.1741,-0.0432
2024-04-22,100188,372.3381,1.4395,1.2859
2024-04-23,100188,370.5798,-0.9156,-0.4722
2024-04-24,100188,371.1691,-0.4669,0.159
2024-04-25,100188,379.3019,0.2609,2.1911
2024-04-26,100188,383.3882,-0.1618,1.0773
2024-04-29,100188,383.8405,0.8046,0.118
2024-04-30,100188,383.5721,-0.5728,-0.0699
2024-05-01,100188,380.039,-0.029,-0.9211
2024-05-02,100188,382.1508,0.4522,0.5557
2024-05-03,100188,382.2424,-0.5001,0.024
2024-05-06,100188,385.0502,0.1411,0.7346
2024-05-07,100188,384.6827,0.8639,-0.0954
2024-05-08,100188,383.3195,0.207,-0.3544
2024-05-09,100188,384.8335,0.693,0.395
2024-05-10,100188,390.1684,0.6479,1.3863
2024-05-13,100188,389.6622,2.1043,-0.1297
2024-05-14,100188,386.9072,-0.8776,-0.707
2024-05-15,100188,386.3145,0.9591,-0.1532
2024-05-16,100188,388.2935,-0.3894,0.5123
2024-05-17,100188,388.3231,0.9733,0.0076
2024-05-20,100188,403.305,0.3582,3.8581
2024-05-21,100188,405.6976,-0.2741,0.5932
2024-05-22,100188,402.2898,0.1948,-0.84
2024-05-23,100188,404.2268,-1.2158,0.4815
2024-05-24,100188,402.4881,-0.2923,-0.4301
2024-05-27,100188,404.6015,0.1283,0.5251
2024-05-28,100188,408.6244,-1.5001,0.9943
2024-05-29,100188,414.8821,1.3159,1.5314
2024-05-30,100188,415.236,0.6253,0.0853
2024-05-31,100188,417.6688,-0.6236,0.5859
2024-06-03,100188,422.897,0.9862,1.2518
2024-06-04,100188,423.4277,0.1127,0.1255
2024-06-05,100188,420.6711,-0.2881,-0.651
2024-06-06,100188,419.0989,1.5749,-0.3737
2024-06-07,100188,420.1737,-0.8595,0.2565
2024-06-10,100188,409.8787,0.4719,-2.4502
2024-06-11,100188,404.3149,0.5606,-1.3574
2024-06-12,100188,400.9787,-1.2725,-0.8251
2024-06-13,100188,402.9231,-1.3048,0.4849
2024-06-14,100188,401.4644,0.2239,-0.362
2024-06-17,100188,406.7358,-0.7092,1.313
2024-06-18,100188,413.9409,-0.5054,1.7714
2024-06-19,100188,420.8257,-0.3673,1.6632
2024-06-20,100188,425.3923,1.003,1.0852
2024-06-21,100188,421.5596,0.3598,-0.901
2024-06-24,100188,426.8484,0.3118,1.2546
2024-06-25,100188,425.5029,-1.0146,-0.3152
2024-06-26,100188,429.4414,-0.4637,0.9256
2024-06-27,100188,434.9459,0.5822,1.2818
2024-06-28,100188,431.6256,-0.1051,-0.7634
2024-07-01,100188,429.5825,-0.3908,-0.4734
2024-07-02,100188,436.0628,0.8148,1.5085
2024-07-03,100188,432.7829,0.0229,-0.7522
2024-07-04,100188,432.0727,-1.3681,-0.1641
2024-07-05,100188,435.8669,0.8948,0.8781
2024-07-08,100188,442.4289,-0.1488,1.5055
2024-07-09,100188,446.3295,1.6713,0.8816
2024-07-10,100188,447.0708,-1.2372,0.1661
2024-07-11,100188,445.9746,0.6169,-0.2452
2024-07-12,100188,451.0493,-0.9804,1.1379
2024-07-15,100188,453.5309,0.8594,0.5502
2024-07-16,100188,449.841,-0.3411,-0.8136
2024-07-17,100188,454.1017,0.3931,0.9472
2024-07-18,100188,456.1159,1.0528,0.4436
2024-07-19,100188,456.7255,0.5152,0.1337
2024-07-22,100188,445.2131,0.1069,-2.5206
2024-07-23,100188,444.5916,-0.5491,-0.1396
2024-07-24,100188,446.0419,-0.7612,0.3262
2024-07-25,100188,446.6673,0.0224,0.1402
2024-07-26,100188,443.4692,-2.0284,-0.716
2024-07-29,100188,440.2891,-0.3438,-0.7171
2024-07-30,100188,442.0257,-0.1653,0.3944
2024-07-31,100188,444.5112,-0.8359,0.5623
2024-08-01,100188,445.3897,-0.0081,0.1976
2024-08-02,100188,444.8341,-0.1589,-0.1247
2024-08-05,100188,447.7666,-0.3265,0.6592
2024-08-06,100188,448.5928,-0.0681,0.1845
2024-08-07,100188,450.329,0.6865,0.387
2024-08-08,100188,455.7423,-0.0648,1.2021
2024-08-09,100188,446.5839,-0.0227,-2.0096
2024-08-12,100188,447.1717,-2.1493,0.1316
2024-08-13,100188,449.395,-0.2516,0.4972
2024-08-14,100188,443.4631,-0.7443,-1.32
2024-08-15,100188,440.1888,0.5879,-0.7383
2024-08-16,100188,442.5899,1.4033,0.5455
2024-08-19,100188,434.7026,1.0577,-1.7821
2024-08-20,100188,441.0058,-0.174,1.45
2024-08-21,100188,443.4002,-1.3144,0.5429
2024-08-22,100188,435.8201,-1.0166,-1.7095
2024-08-23,100188,434.5934,-0.4292,-0.2815
2024-08-26,100188,434.9381,1.3248,0.0793
2024-08-27,100188,435.2538,1.867,0.0726
2024-08-28,100188,432.9428,-0.4326,-0.531
2024-08-29,100188,434.6268,-0.2793,0.389
2024-08-30,100188,439.4048,-0.537,1.0993
2024-09-02,100188,456.2373,-0.3777,3.8308
2024-09-03,100188,455.5875,0.1711,-0.1424
2024-09-04,100188,446.8269,0.582,-1.9229
2024-09-05,100188,448.9393,0.1384,0.4728
2024-09-06,100188,442.8788,-1.3519,-1.35
2024-09-09,100188,456.9248,-0.7659,3.1715
2024-09-10,100188,452.8686,-0.2047,-0.8877
2024-09-11,100188,444.9971,-0.49,-1.7381
2024-09-12,100188,448.5865,1.5111,0.8066
2024-09-13,100188,449.8929,1.5165,0.2912
2024-09-16,100188,452.1778,0.2082,0.5079
2024-09-17,100188,451.3215,-0.0868,-0.1894
2024-09-18,100188,448.8135,0.2731,-0.5557
2024-09-19,100188,449.0514,-1.2916,0.053
2024-09-20,100188,448.2583,-0.7301,-0.1766
2024-09-23,100188,448.6486,2.1728,0.0871
2024-09-24,100188,455.1368,-0.7437,1.4462
2024-09-25,100188,460.133,1.0479,1.0977
2024-09-26,100188,452.085,0.8152,-1.7491
2024-09-27,100188,454.8177,0.1865,0.6045
2024-09-30,100188,463.4919,-0.3216,1.9072
2024-10-01,100188,462.8432,0.0467,-0.14
2024-10-02,100188,464.1767,-1.5469,0.2881
2024-10-03,100188,470.1607,0.2436,1.2892
2024-10-04,100188,472.757,0.2176,0.5522
2024-10-07,100188,471.4278,0.1768,-0.2812
2024-10-08,100188,476.5179,0.3515,1.0797
2024-10-09,100188,476.136,1.8279,-0.0801
2024-10-10,100188,470.8439,-1.1662,-1.1115
2024-10-11,100188,472.5349,-0.1511,0.3591
2024-10-14,100188,461.2733,1.058,-2.3832
2024-10-15,100188,458.8787,0.9856,-0.5191
2024-10-16,100188,460.9611,-0.1457,0.4538
2024-10-17,100188,461.2334,0.4258,0.0591
2024-10-18,100188,451.8369,0.3344,-2.0373
2024-10-21,100188,455.2796,1.0683,0.7619
2024-10-22,100188,445.1567,0.7732,-2.2234
2024-10-23,100188,446.441,-0.1823,0.2885
2024-10-24,100188,446.1338,-0.1945,-0.0688
2024-10-25,100188,448.0107,-0.0808,0.4207
2024-10-28,100188,449.4546,0.0822,0.3223
2024-10-29,100188,450.8107,-0.3542,0.3017
2024-10-30,100188,451.6972,0.2002,0.1966
2024-10-31,100188,450.816,0.8169,-0.1951
2024-11-01,100188,447.2511,-0.0772,-0.7908
2024-11-04,100188,443.8012,0.5424,-0.7714
2024-11-05,100188,440.0558,-0.3626,-0.8439
2024-11-06,100188,436.9519,-0.0597,-0.7053
2024-11-07,100188,435.4381,-0.3871,-0.3464
2024-11-08,100188,438.281,1.6263,0.6529
2024-11-11,100188,438.0473,0.129,-0.0533
2024-11-12,100188,442.6686,0.0853,1.055
2024-11-13,100188,439.5965,-0.6169,-0.694
2024-11-14,100188,437.3323,0.028,-0.5151
2024-11-15,100188,440.8844,-1.1829,0.8122
2024-11-18,100188,426.8322,1.2333,-3.1873
2024-11-19,100188,426.8631,1.7507,0.0072
2024-11-20,100188,421.5619,1.2048,-1.2419
2024-11-21,100188,419.0685,-0.3266,-0.5915
2024-11-22,100188,415.5061,-0.8149,-0.8501
2024-11-25,100188,406.9814,-0.1776,-2.0516
2024-11-26,100188,407.1105,0.6399,0.0317
2024-11-27,100188,407.6411,0.3292,0.1303
2024-11-28,100188,409.6914,0.0245,0.503
2024-11-29,100188,411.1951,-0.8417,0.367
2024-12-02,100188,415.7515,-0.5995,1.1081
2024-12-03,100188,421.081,-0.1012,1.2819
2024-12-04,100188,418.7994,-1.2641,-0.5418
2024-12-05,100188,421.905,-0.9377,0.7415
2024-12-06,100188,420.0269,0.6197,-0.4451
2024-12-09,100188,420.0881,1.0713,0.0146
2024-12-10,100188,428.6884,-0.4539,2.0473
2024-12-11,100188,431.0548,1.7759,0.552
2024-12-12,100188,435.4134,-0.5781,1.0111
2024-12-13,100188,433.8998,-0.4982,-0.3476
2024-12-16,100188,429.4418,-0.4883,-1.0274
2024-12-17,100188,433.0001,0.1509,0.8286
2024-12-18,100188,431.6257,0.8375,-0.3174
2024-12-19,100188,433.0374,0.2784,0.3271
2024-12-20,100188,437.264,0.5559,0.976
2024-12-23,100188,442.2763,2.6656,1.1463
2024-12-24,100188,446.8266,1.0779,1.0288
2024-12-25,100188,452.197,0.1119,1.2019
2024-12-26,100188,457.721,0.061,1.2216
2024-12-27,100188,454.4801,-0.4676,-0.7081
2024-12-30,100188,451.6109,-0.6155,-0.6313
2024-01-01,100209,240.9341,1.3929,
2024-01-02,100209,239.4317,0.3212,-0.6236
2024-01-03,100209,239.9943,-0.6078,0.235
2024-01-04,100209,238.3584,-0.1178,-0.6816
2024-01-05,100209,241.6079,-0.9511,1.3633
2024-01-08,100209,241.9736,0.9376,0.1514
2024-01-09,100209,244.0607,-1.4015,0.8625
2024-01-10,100209,246.2786,0.2576,0.9087
2024-01-11,100209,248.229,-0.6532,0.7919
2024-01-12,100209,253.0583,-0.2501,1.9455
2024-01-15,100209,252.583,0.9165,-0.1878
2024-01-16,100209,249.5745,1.6766,-1.1911
2024-01-17,100209,250.7229,-0.8871,0.4601
2024-01-18,100209,250.797,0.0143,0.0296
2024-01-19,100209,253.1036,-1.4053,0.9197
2024-01-22,100209,257.0857,0.5472,1.5733
2024-01-23,100209,252.9117,1.324,-1.6236
2024-01-24,100209,252.2979,0.631,-0.2427
2024-01-25,100209,256.7342,0.4976,1.7584
2024-01-26,100209,255.3676,-0.4139,-0.5323
2024-01-29,100209,257.4907,0.3627,0.8314
2024-01-30,100209,257.4839,0.8832,-0.0026
